,name,group,lat,long
1,Caltagirone,Late Baroque Towns of the Val di Noto,37.2397222222222,14.5122222222222
2,Catania,Late Baroque Towns of the Val di Noto,37.5022222222222,15.0869444444444
3,Militello Val di Catania,Late Baroque Towns of the Val di Noto,37.2758888888889,14.7917222222222
4,Modica,Late Baroque Towns of the Val di Noto,36.8603055555556,14.7607222222222
5,Noto,Late Baroque Towns of the Val di Noto,36.8931944444444,15.0689166666667
6,Palazzolo Acreide,Late Baroque Towns of the Val di Noto,37.0628055555556,14.903
7,Ragusa,Late Baroque Towns of the Val di Noto,36.9253333333333,14.7333055555556
8,Scicli,Late Baroque Towns of the Val di Noto,36.7924166666667,14.7057222222222
9,Royal Palace and Palatine Chapel,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.1108333333333,13.3530555555556
10,Church of San Giovanni degli Eremiti,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.1095722222222,13.3546333333333
11,Church of Santa Maria dell’Ammiraglio,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.1147222222222,13.3627777777778
12,Church of San Cataldo,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.1147222222222,13.3625
13,Palermo Cathedral,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.1143416666667,13.3561111111111
14,Zisa Palace,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.1166666666667,13.3413888888889
15,Admiral’s Bridge,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.105,13.3747222222222
16,Cefalù Cathedral,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.04,14.0233333333333
17,Monreale Cathedral,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.0819444444444,13.2922222222222
18,Necropolis of Pantalica,Syracuse and the Rocky Necropolis of Pantalica,37.1416666666667,15.0283333333333
19,"Epipolae, Achradina, Tyche and Neapolis, Euryalus Castle, Dionysian fortiﬁcations and the Scala Greca area",Syracuse and the Rocky Necropolis of Pantalica,37.0958333333333,15.225
20,Ortygia,Syracuse and the Rocky Necropolis of Pantalica,37.0594444444444,15.2930555555556
21,Isole Eolie (Aeolian Islands),Isole Eolie (Aeolian Islands),38.4878611111111,14.9455833333333
22,Archaeological Area of Agrigento,Archaeological Area of Agrigento,37.2897222222222,13.5933333333333
23,Villa Romana del Casale,Villa Romana del Casale,37.36611,14.33417
